EGM_ID,WYGF_ID,River_Mile,Tributary,Temporal.Event,Species,Date,Length,Weight,Sex,Maturity,raw,assembled,q,big_Q,PC1,PC2,PC3,PC4,missing_prop,group
EGM18_0026,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,19.2,2.15,M,Ripe,1064236,834517,1.99283357790637e-06,1.436611643995e-06,-0.010918,-0.012852,0.0318744,0.0280772,0.141220423412204,2
EGM18_0027,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,24.4,4.81,F,Soft,1073637,831959,2.19410522210343e-06,1.79207670772372e-06,-0.0126177,0.0440574,0.0512066,0.0196278,0.151930261519303,3
EGM18_0028,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,18.3,1.71,M,Ripe,704752,554311,9.20224920821177e-06,1.47213332671501e-05,-0.0036712,-0.069335,0.0499077,0.0101758,0.231216272312163,1
EGM18_0030,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,17.2,1.42,M,Ripe,1825240,1473188,1.91361587432542e-06,1.4916335802161e-06,0.0080104,0.0515965,0.0146907,0.0044021,0.0684101286841013,3
EGM18_0031,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,16.4,1.08,M,Ripe,1951844,1603903,1.50817969236268e-06,1.31276541913627e-06,0.0733417,-0.0535746,0.0317923,-0.0233703,0.0661685346616853,1
EGM18_0032,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,16.9,1.36,M,Ripe,1147345,931167,3.25071188215315e-06,2.4865124830293e-06,0.0224387,-0.0042221,0.042432,-0.0401136,0.122623495226235,2
EGM18_0034,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,16.8,1.29,M,Ripe,1389486,1150556,0.00972393610602303,0.0194415111904989,0.0808647,-0.0801998,-0.0099214,-0.0484838,0.119551681195517,1
EGM18_0035,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,15.6,1.1,M,Ripe,979622,798508,0.016241921861028,0.032481035703732,0.0092987,-0.0034557,-0.0738296,0.0064113,0.16230801162308,2
EGM18_0036,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,17,1.42,M,Ripe,1913111,1545898,2.99860073409505e-06,2.1494089627737e-06,0.0233294,0.0749413,0.0411735,-0.0174282,0.0704026567040266,3
EGM18_0037,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,17.1,1.21,M,Ripe,846361,682641,5.16550065323585e-06,8.04876999775509e-06,0.0028941,-0.0758886,0.0377136,0.0201002,0.176587795765878,1
EGM18_0038,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,16,1.01,M,Ripe,856415,664387,9.48338681207007e-06,1.50109383749933e-05,-0.0258879,-0.0231003,-0.0042025,0.0425372,0.174927355749274,2
EGM18_0039,SAR_18_03,46,Bighorn River,Pre-Spawn ,SAR,5/1/2018,15.9,1.11,M,Ripe,307860,242059,6.40750755697125e-05,0.000123501789175466,-0.0937441,-0.0082695,0.0114969,-0.0231689,0.452552926525529,3
EGM18_0040,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,21.4,3.16,F,NA,712562,581510,0.000257604970534068,0.000510248671205597,0.0021523,-0.0771971,0.0140434,-0.046471,0.280614362806144,1
EGM18_0041,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,16.6,1.15,M,Ripe,513427,408837,3.17540174572035e-06,3.93481730750709e-06,-0.0553531,-0.018939,0.014778,-0.0017103,0.298298048982981,2
EGM18_0042,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,21.4,3.3,F,NA,781875,633687,1.41661955343848e-05,2.37920229393297e-05,-0.0290983,0.0229233,0.0339956,-0.0390167,0.203569946035699,3
EGM18_0043,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,19.2,2.22,F,NA,305591,244761,0.00626351608178553,0.0125220242699862,-0.0814971,-0.0770576,-0.0284885,0.0158163,0.458115400581154,2
EGM18_0044,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,21.9,3.37,F,NA,774861,629912,5.6998855282713e-06,6.46214953448373e-06,-0.0237005,-0.013975,0.0204701,-0.0279648,0.202324616023246,2
EGM18_0045,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,18.9,1.85,M,Ripe,224858,178028,1.41321041611145e-05,1.65283056392973e-05,-0.1003077,-0.0254893,-0.0087916,-0.011823,0.556662515566625,3
EGM18_0046,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,18,1.68,M,Ripe,621176,492724,2.23982785692754e-05,4.22902110804433e-05,-0.0332412,-0.0803681,0.0142438,0.0209281,0.258447488584475,1
EGM18_0048,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,19.6,2.08,M,Ripe,934990,748062,3.70931353962558e-06,2.78389738864874e-06,-0.0200138,0.03644,0.0245783,0.0315856,0.162806143628061,3
EGM18_0049,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,17.2,1.55,M,Ripe,2978897,2503974,1.83582134821912e-06,1.31631495330675e-06,0.0859696,-0.0571687,-0.0246812,-0.0888014,0.0634288086342881,1
EGM18_0050,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,16.6,1.43,M,Ripe,2305983,1959013,1.65504782625084e-06,1.16967633479162e-06,0.0547386,0.0108001,-0.0289467,-0.0912907,0.0745537567455376,2
EGM18_0051,SAR_18_04,51.8 - 54,Bighorn River,Pre-Spawn ,SAR,5/1/2018,17.5,1.6,M,Ripe,1540649,1283983,1.79393390711976e-06,1.51667679101748e-06,-0.0039096,0.0358546,0.000644,-0.0726822,0.10942299709423,3
EGM18_0052,SAR_18_05,13-13.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.6,2.06,M,Ripe,1159592,972143,2.42349578241721e-06,2.05737200248589e-06,0.0214021,-0.0122218,-0.0198186,-0.0963408,0.216521378165214,2
EGM18_0053,SAR_18_05,13-13.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,20.3,2.74,M,Ripe,1894959,1583170,2.12678244257467e-06,1.78289590867639e-06,0.0081348,0.0608888,0.0141017,-0.0783183,0.0850145288501453,3
EGM18_0055,SAR_18_05,13-13.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,20.9,3.2,F,Green,1321412,1126750,4.23541929588514e-06,3.2080473514362e-06,0.0097311,0.0024756,0.0078046,-0.0777343,0.147696139476961,2
EGM18_0056,SAR_18_05,13-13.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,24,5.2,F,Green,1847423,1552986,2.02652631526084e-06,1.61451908632618e-06,0.030654,0.0550315,0.0203511,-0.0489395,0.0924865089248651,3
EGM18_0057,SAR_18_05,13-13.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,15.8,1.24,M,Ripe,672488,535000,2.90390633253942e-06,2.70202497423199e-06,-0.0177466,-0.0695342,0.0444212,0.0229434,0.228310502283105,1
EGM18_0058,SAR_18_05,13-13.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.8,2.38,M,Ripe,700466,554046,2.81678658496148e-05,5.13982794517646e-05,-0.048005,0.0188918,-0.0038722,0.0465532,0.22640099626401,3
EGM18_0059,SAR_18_05,13-13.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,17,1.55,M,Ripe,908806,727828,3.13358192615729e-05,6.00194193847711e-05,0.0110265,-0.0657875,0.0378786,0.036051,0.165545869655459,1
EGM18_0060,SAR_18_06,12.5-12.9,Bighorn River,Pre-Spawn ,SAR,5/2/2018,21.3,2.63,F,Soft,948596,754439,2.55494380062444e-06,2.64141828186697e-06,-0.0018087,-0.0076606,0.008406,0.0278339,0.14719800747198,2
EGM18_0061,SAR_18_06,12.5-12.9,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.1,1.88,M,Ripe,680585,534242,2.12745819126651e-06,1.903572534283e-06,-0.0666885,0.0064623,0.0203144,0.0128653,0.228061436280614,3
EGM18_0062,SAR_18_06,12.5-12.9,Bighorn River,Pre-Spawn ,SAR,5/2/2018,17.3,1.63,M,Ripe,875642,706524,2.09190459392311e-06,1.58258705909779e-06,0.010584,-0.0801931,0.0358888,-0.0075207,0.175010377750104,1
EGM18_0063,SAR_18_06,12.5-12.9,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.5,2.16,M,Ripe,592979,472732,0.00708598980829849,0.0141666433225073,-0.0387645,-0.0263804,0.0171379,0.0254019,0.253715234537152,2
EGM18_0065,SAR_18_06,12.5-12.9,Bighorn River,Pre-Spawn ,SAR,5/2/2018,15.4,1.08,M,Ripe,928305,731824,5.18511255266072e-06,5.8317458577698e-06,0.0012796,-0.066904,-0.0001954,0.0444275,0.161892901618929,1
EGM18_0066,SAR_18_06,12.5-12.9,Bighorn River,Pre-Spawn ,SAR,5/2/2018,16.7,1.36,M,Ripe,420879,343922,5.69369378185113e-05,6.89553072781489e-06,-0.0550345,-0.0440687,-0.0397632,0.0120581,0.364549605645496,2
EGM18_0067,SAR_18_06,12.5-12.9,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.4,2.18,M,Ripe,775472,620701,2.60635120344931e-06,1.56439765850976e-06,-0.0297007,0.02621,0.0364534,0.0039111,0.194437525944375,3
EGM18_0070,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,22.5,3.72,F,Green,1241512,964901,3.34410643583846e-06,1.7285177688534e-06,0.0396574,-0.0696148,0.0627827,0.052299,0.138646741386467,1
EGM18_0071,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,20.1,2.77,F,Green,823033,665417,2.84786757842019e-06,2.93148283679814e-06,-0.0156292,-0.003036,0.0211892,0.0068273,0.170444167704442,2
EGM18_0072,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,22.4,3.81,F,Soft,515192,413010,9.64579919487113e-06,1.11555000920246e-05,-0.0619953,-0.0057477,0.0030362,-0.0119707,0.30950601909506,3
EGM18_0073,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.4,2.55,F,Green,235088,198515,0.0208282684607074,0.0416515258958042,-0.0803162,-0.0655781,-0.0312821,-0.0366133,0.563719385637194,2
EGM18_0074,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,16.1,1.04,M,Ripe,606334,472505,2.70213105550156e-06,2.31267507878309e-06,-0.0441747,-0.0299021,0.0116093,0.0242097,0.243586550435865,2
EGM18_0075,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18,1.79,M,Ripe,976760,799375,3.75837455857444e-06,3.10688736455102e-06,-0.0230165,0.0259177,0.0191672,-0.0224898,0.172270651722707,3
EGM18_0076,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.9,1.96,M,Ripe,2028630,1652960,1.81506069328372e-06,1.21835952640909e-06,0.0910552,-0.0828704,0.0542052,0.0021032,0.0684101286841013,1
EGM18_0077,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,14.9,1.02,M,Ripe,984456,805206,2.03133095486457e-06,1.51634407029287e-06,0.0056588,-0.0072187,-0.0047281,0.0132932,0.142050643420506,2
EGM18_0078,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,17.6,1.53,M,Ripe,452467,375557,5.67584212566489e-06,7.94002217650505e-06,-0.0902003,-0.0163396,0.0054667,-0.0542629,0.380489829804898,3
EGM18_0079,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,17,1.54,M,Ripe,1006796,835235,4.95648088008013e-06,5.0767818822192e-06,0.0299985,-0.0820928,0.0043682,-0.023908,0.163802407638024,1
